"weight";"lat";"lon"
"14";"34.446";"-118.439"
"14";"33.716";"-118.268"
"14";"33.946";"-118.268"
"14";"33.925";"-118.708"
"14";"34.016";"-118.548"
"14";"33.885";"-118.369"
"14";"34.516";"-118.479"
"14";"33.846";"-118.689"
"14";"33.705";"-118.259"
"14";"33.906";"-118.539"
"14";"34.016";"-118.488"
"14";"34.046";"-118.499"
"14";"34.016";"-118.509"
"14";"34.146";"-118.449"
"14";"34.205";"-118.458"
"14";"34.266";"-118.628"
"14";"33.866";"-118.579"
"14";"34.436";"-118.669"
"14";"33.986";"-118.458"
"14";"33.936";"-118.708"
"14";"34.146";"-118.399"
"14";"34.126";"-118.429"
"14";"33.846";"-118.579"
"14";"34.126";"-118.469"
"14";"33.596";"-118.279"
"14";"34.455";"-118.439"
"14";"34.065";"-118.399"
"14";"33.896";"-118.579"
"14";"33.955";"-118.399"
"14";"33.946";"-118.889"
"14";"33.855";"-118.598"
"14";"34.116";"-118.479"
"14";"33.966";"-118.408"
"14";"33.826";"-118.359"
"14";"33.846";"-118.569"
"13";"33.896";"-118.378"
"13";"34.146";"-118.429"
"13";"33.866";"-118.609"
"13";"34.135";"-118.449"
"13";"34.065";"-118.539"
"13";"33.936";"-118.539"
"13";"34.436";"-118.429"
"13";"33.826";"-118.548"
"13";"34.056";"-118.529"
"13";"34.036";"-118.449"
"13";"33.846";"-118.529"
"13";"34.495";"-118.469"
"13";"33.976";"-118.439"
"13";"33.836";"-118.689"
"13";"33.815";"-118.319"
"13";"33.925";"-118.859"
"13";"34.306";"-118.639"
"13";"33.846";"-118.639"
"13";"34.376";"-118.499"
"13";"34.025";"-118.439"
"13";"34.036";"-118.249"
"13";"33.855";"-118.589"
"13";"33.925";"-118.679"
"13";"34.056";"-118.439"
"13";"33.876";"-118.609"
"13";"33.855";"-118.339"
"13";"34.056";"-118.458"
"13";"33.896";"-118.569"
"13";"34.116";"-118.439"
"13";"34.016";"-118.529"
"13";"33.976";"-118.449"
